,NAME10,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Crime,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,SVI
147,1002.0,0.1999,0.4318,0.4384,0.9063,5438,2.5,17.0,4.1,0.2,0.4979
148,1003.0,0.2042,0.5636,0.2831,0.828,3806,0.6,8.1,3.2,0.3,0.4631
149,1004.0,0.1293,0.6662,0.4354,0.2178,1663,0.1,15.0,9.2,0.0,0.2383
150,1005.0,0.1692,0.8996,0.4007,0.4309,4856,0.0,10.4,4.7,0.0,0.4057
151,1006.0,0.473,0.8289,0.5511,0.2859,6043,0.7,29.5,4.2,0.0,0.5086
152,1007.0,0.5387,0.2303,0.362,0.2264,2322,0.2,14.7,5.4,0.0,0.3394
153,1101.0,0.4162,0.1063,0.6153,0.3378,4822,1.2,22.7,15.1,0.0,0.3016
154,1102.0,0.6361,0.5679,0.5861,0.9349,3634,6.4,24.0,8.5,0.0,0.7675
155,1103.0,0.4312,0.6963,0.5735,0.1443,3804,0.2,26.8,8.6,0.0,0.3827
156,1104.0,0.5891,0.2076,0.6125,0.8154,4614,1.2,24.1,9.4,0.0,0.609
157,1105.01,0.4324,0.2611,0.6687,0.3418,4141,5.2,24.7,16.4,0.0,0.387
158,1105.02,0.539,0.4208,0.591,0.4048,6262,3.3,23.5,9.2,0.8,0.4982
159,1201.0,0.2899,0.2162,0.3076,0.1877,1798,0.3,12.5,3.3,0.0,0.1867
160,1202.0,0.1367,0.5912,0.408,0.1299,3015,1.4,8.8,12.3,0.0,0.1784
161,1203.0,0.2141,0.6818,0.4025,0.2002,3873,0.1,10.3,9.2,0.0,0.2743
162,1204.0,0.644,0.2466,0.638,0.1262,3502,0.7,24.6,17.7,0.0,0.3888
163,1301.0,0.6895,0.9251,0.5671,0.9447,6168,1.3,8.9,25.2,0.1,0.8842
164,1302.0,0.1987,0.6898,0.6819,0.2792,3013,0.9,28.5,14.6,0.0,0.3437
165,1303.0,0.7988,0.5074,0.7436,0.586,5380,4.2,22.8,32.3,0.0,0.7402
166,1401.0,0.9232,0.367,0.7531,0.7055,4031,12.8,38.7,9.1,0.0,0.8163
167,1402.0,0.7657,0.3606,0.7737,0.9674,8128,5.8,45.6,15.7,0.0,0.8584
168,1403.01,0.9106,0.6186,0.8686,0.6717,3808,3.9,63.0,22.3,0.0,0.8633
169,1403.02,0.6072,0.5971,0.6967,0.8943,4197,4.6,34.4,8.8,0.0,0.7528
170,1404.0,0.6619,0.6428,0.6798,0.3495,7340,1.7,31.5,15.5,0.0,0.6026
171,1405.0,0.6852,0.5611,0.771,0.4481,5336,2.6,40.5,19.4,0.0,0.6391
172,1406.01,0.9119,0.6978,0.8084,0.4825,2970,14.6,43.7,16.6,0.0,0.8166
173,1406.02,0.9201,0.7178,0.8256,0.6354,6934,10.1,60.1,7.2,0.0,0.8719
174,1407.01,0.7408,0.1698,0.821,0.6916,3989,4.5,54.5,18.5,0.0,0.6662
175,1407.02,0.8882,0.7641,0.8063,0.8329,8671,2.3,62.7,7.3,0.0,0.9103
176,1408.0,0.7506,0.0946,0.638,0.6078,6696,0.5,35.4,6.8,0.0,0.5835
177,1502.0,0.7614,0.2196,0.6334,0.812,10851,1.0,30.9,7.0,0.3,0.7116
178,1503.0,0.5135,0.3492,0.5809,0.5802,9463,1.8,28.5,4.7,0.0,0.5298
