,geoid10,ID
476,17031480100,7829
477,17031480200,4351
478,17031480300,4807
479,17031480400,14288
480,17031480500,8278
481,17031490300,6776
482,17031490400,2826
483,17031490500,8245
484,17031490600,5925
485,17031490700,10171
486,17031490800,13066
487,17031490901,15012
488,17031490902,17202
489,17031491000,26284
490,17031491100,11837
491,17031491200,10414
492,17031491300,12695
493,17031491400,19725
494,17031500100,9075
495,17031500200,10889
496,17031500300,6078
497,17031510100,5190
498,17031510200,6820
499,17031510300,20106
500,17031520100,4651
501,17031520200,7498
502,17031520300,8318
503,17031520400,5677
504,17031520500,3971
505,17031520600,3815
506,17031530100,9610
507,17031530200,23515
508,17031530300,13472
509,17031530400,6233
510,17031530501,20305
511,17031530502,5103
512,17031530503,15563
513,17031530600,11549
514,17031540101,17659
515,17031540102,14183
516,17031550100,11484
517,17031550200,3841
518,17031560100,3416
519,17031560200,6953
520,17031560300,4024
521,17031560400,2875
522,17031560700,5045
523,17031560800,6146
524,17031560900,4211
525,17031561000,4032
526,17031561100,4995
527,17031570100,3109
528,17031570200,4645
529,17031570300,8662
530,17031570400,4761
531,17031570500,3371
532,17031580100,4700
533,17031580200,4842
534,17031580300,2446
535,17031580400,7830
536,17031580501,7864
537,17031580502,6484
538,17031580600,7050
539,17031580700,7398
540,17031580800,3298
541,17031590500,4463
542,17031590600,4110
543,17031590700,5062
544,17031600400,3557
545,17031600600,3393
546,17031600700,3545
547,17031600900,6174
548,17031610300,12832
549,17031610400,4387
550,17031610800,2091
551,17031611000,4996
552,17031611100,5173
553,17031611200,8093
554,17031611300,9518
555,17031611400,6346
556,17031611500,5709
557,17031611600,5454
558,17031611700,8106
559,17031611800,8336
560,17031611900,11426
561,17031612000,6512
562,17031612100,5652
563,17031620100,8417
564,17031620200,4149
565,17031620300,7831
566,17031620400,5104
567,17031630100,3961
568,17031630200,3605
569,17031630300,9956
570,17031630400,7455
571,17031630500,8563
572,17031630800,9098
573,17031630900,6644
574,17031640100,2989
575,17031640300,7245
576,17031640400,3714
577,17031640500,2531
578,17031640600,4485
579,17031640700,3970
580,17031640800,2243
581,17031650100,6311
582,17031650200,7995
583,17031650301,6584
584,17031650302,5744
585,17031650400,7636
586,17031650500,16321
587,17031660301,6289
588,17031660302,10335
589,17031660400,8015
590,17031660500,10128
591,17031660600,22885
592,17031660700,10773
593,17031660800,17193
594,17031660900,20331
595,17031661000,18578
596,17031661100,9552
597,17031670100,7482
598,17031670200,8017
599,17031670300,8075
600,17031670400,8335
601,17031670500,7101
602,17031670600,7196
603,17031670700,10716
604,17031670800,9367
605,17031670900,7676
606,17031671100,7373
607,17031671200,9977
608,17031671300,12438
609,17031671400,9180
610,17031671500,18646
611,17031671600,12915
612,17031671800,6345
613,17031671900,4754
614,17031672000,16420
615,17031680500,7420
616,17031680600,8577
