,FIPS,Crime prevelance,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,Binge Drinking,Smoking,Depression,Physical Inactivity,Sleep<7hours
167,17031140200,9164,0.7788,0.3747,0.7857,0.9614,5.8,45.6,15.7,0.0,15.2,14.5,16.0,28.9,33.2
168,17031140301,4216,0.93,0.6038,0.9084,0.6393,3.9,63.0,22.3,0.0,13.6,16.5,13.8,33.0,35.1
169,17031140302,4570,0.576,0.6084,0.7029,0.8817,4.6,34.4,8.8,0.0,13.4,12.2,13.0,26.9,32.0
170,17031140400,7974,0.6234,0.634,0.6798,0.3381,1.7,31.5,15.5,0.0,13.9,12.6,13.8,25.0,31.7
171,17031140500,5823,0.6666,0.5492,0.7823,0.4382,2.6,40.5,19.4,0.0,15.7,12.1,13.9,24.3,31.8
172,17031140601,3321,0.9287,0.6688,0.8276,0.453,14.6,43.7,16.6,0.0,13.8,15.4,14.5,32.7,34.2
173,17031140602,7690,0.9322,0.6932,0.8539,0.6046,10.1,60.1,7.2,0.0,15.2,14.8,14.6,29.3,34.1
174,17031140701,4829,0.7582,0.1931,0.8479,0.6564,4.5,54.5,18.5,0.0,16.5,13.4,13.9,25.8,33.2
175,17031140702,9703,0.9035,0.7221,0.826,0.7944,2.3,62.7,7.3,0.0,15.8,15.0,15.0,29.6,33.6
176,17031140800,7452,0.7428,0.1002,0.636,0.5683,0.5,35.4,6.8,0.0,16.4,11.8,14.3,21.8,31.0
177,17031150200,12379,0.7519,0.2371,0.6297,0.7789,1.0,30.9,7.0,0.3,15.4,14.6,16.1,24.5,32.3
178,17031150300,10609,0.462,0.3567,0.5771,0.551,1.8,28.5,4.7,0.0,15.8,12.3,15.4,21.6,30.3
179,17031150401,5621,0.4727,0.8291,0.6097,0.3314,1.3,28.1,9.3,1.0,15.5,12.8,15.4,22.7,30.8
180,17031150402,4687,0.4822,0.6169,0.6044,0.3642,4.5,33.6,2.7,0.0,15.9,12.7,15.1,22.5,31.1
181,17031150501,3055,0.2411,0.3601,0.6272,0.5347,0.2,26.2,9.7,0.0,15.3,12.6,15.3,22.4,30.5
182,17031150502,4713,0.5035,0.6822,0.5874,0.7734,2.4,27.7,9.0,0.0,15.0,13.8,15.7,24.3,31.8
183,17031150600,5636,0.5205,0.4632,0.7157,0.2882,2.0,42.9,9.5,0.8,16.4,12.8,15.3,22.9,31.3
184,17031150700,5610,0.6046,0.9326,0.7313,0.3793,2.2,47.2,7.3,0.0,15.5,13.0,15.2,24.3,31.4
185,17031150800,7931,0.7909,0.145,0.7539,0.3082,2.2,53.5,1.3,0.0,15.9,14.1,15.4,26.3,32.2
186,17031151001,4864,0.7087,0.443,0.8153,0.32,1.1,66.2,5.6,0.0,15.4,12.9,14.8,27.0,32.0
187,17031151002,9123,0.8209,0.5848,0.8385,0.779,1.7,72.1,1.4,0.0,15.4,16.1,15.9,30.3,33.5
188,17031151100,8710,0.761,0.5625,0.7816,0.5136,1.1,60.2,5.4,0.0,14.8,15.5,16.0,28.5,32.7
189,17031151200,7437,0.6692,0.3134,0.6948,0.4368,0.6,46.2,5.4,0.0,14.9,13.9,15.1,25.9,31.6
190,17031160100,3266,0.6458,0.8394,0.6572,0.6319,0.0,24.8,16.5,0.6,15.0,13.4,15.2,23.6,31.8
191,17031160200,4790,0.2926,0.3467,0.5752,0.5407,2.0,18.4,11.9,0.0,16.2,10.8,14.6,19.3,30.2
192,17031160300,5550,0.5613,0.2563,0.594,0.8792,6.6,13.8,14.7,0.9,16.5,12.0,14.7,20.2,31.4
193,17031160400,7172,0.7633,0.2959,0.6417,0.8692,2.5,30.0,9.5,0.0,16.3,13.2,14.9,23.5,32.0
194,17031160501,5830,0.829,0.354,0.8338,0.6821,5.1,55.4,14.8,0.0,15.1,13.5,14.4,28.0,32.8
195,17031160502,4821,0.7309,0.4216,0.8133,0.4882,1.3,62.4,7.5,0.0,15.7,15.8,15.5,29.0,33.8
196,17031160601,4456,0.4942,0.3041,0.6272,0.7941,2.5,34.3,3.9,0.0,17.0,12.2,15.2,21.9,31.7
197,17031160602,4369,0.5648,0.3733,0.7467,0.3525,3.7,45.1,7.9,0.0,16.5,13.3,15.2,23.8,32.5
198,17031160700,8716,0.5861,0.0756,0.7353,0.4595,2.6,45.3,8.8,0.0,15.0,11.8,13.9,24.8,31.1
199,17031160800,9997,0.8669,0.2473,0.8065,0.5389,0.8,62.6,5.3,0.0,15.7,14.4,15.2,27.7,32.9
200,17031160900,5564,0.3056,0.0969,0.6513,0.6014,2.1,28.9,11.6,0.0,15.9,10.3,14.2,19.3,30.1
201,17031161000,4568,0.3875,0.263,0.5914,0.7447,2.3,30.1,5.1,0.0,17.1,10.3,15.0,17.6,29.7
202,17031161100,4706,0.0431,0.121,0.5323,0.4213,5.8,19.1,5.7,0.0,16.9,9.8,14.1,16.4,29.4
203,17031161200,4303,0.7985,0.5098,0.7878,0.3666,2.3,59.9,3.4,0.2,15.4,13.6,14.4,27.8,32.4
204,17031161300,8786,0.8704,0.5623,0.7428,0.7614,2.6,52.2,3.3,0.2,15.5,14.5,15.5,27.8,32.7
205,17031170100,2773,0.8318,0.7046,0.3492,0.8433,4.9,7.1,7.5,0.0,10.6,13.0,14.6,29.3,29.7
206,17031170200,4595,0.3971,0.2486,0.6611,0.4281,0.1,44.2,3.6,0.0,16.1,11.9,15.3,21.6,30.6
207,17031170300,6672,0.4519,0.7396,0.609,0.4386,0.1,36.2,5.5,0.0,15.6,14.2,15.7,24.3,31.3
208,17031170400,4227,0.6465,0.5054,0.594,0.0663,4.9,29.9,3.4,0.0,15.2,14.6,16.1,24.4,31.4
209,17031170500,4225,0.1148,0.3051,0.454,0.1605,0.0,19.9,6.3,0.0,15.9,12.9,15.7,21.5,30.7
210,17031170600,1823,0.4791,0.4827,0.5019,0.2703,2.0,20.5,7.8,0.0,15.0,14.4,16.0,24.1,31.2
211,17031170700,2613,0.3935,0.1395,0.5469,0.0914,0.0,31.9,3.3,0.0,15.4,14.7,16.0,24.1,31.2
212,17031170800,4036,0.5648,0.595,0.6297,0.5569,1.7,33.9,8.9,0.0,15.8,15.2,16.5,24.5,31.9
213,17031170900,1573,0.962,0.2803,0.7242,0.414,0.7,54.7,2.2,0.0,14.9,17.0,16.7,28.1,32.8
214,17031171000,8729,0.4602,0.3058,0.5853,0.5238,6.0,27.5,2.7,0.0,15.5,13.8,15.8,23.6,31.2
215,17031171100,4984,0.429,0.3191,0.7116,0.2205,1.3,48.0,6.1,0.0,15.5,13.3,15.5,24.6,31.4
216,17031180100,6761,0.7257,0.7469,0.6563,0.6743,0.4,42.3,3.7,0.0,14.8,14.0,15.5,26.9,32.2
217,17031190100,4732,0.7414,0.3774,0.9139,0.5728,1.3,86.2,3.1,0.0,14.6,15.1,14.9,33.8,33.6
218,17031190200,9404,0.8876,0.6123,0.8893,0.6561,5.3,76.5,3.1,0.0,14.8,15.1,15.1,32.9,33.6
219,17031190300,9913,0.8201,0.3197,0.7948,0.4139,1.6,61.2,1.9,0.0,14.9,16.0,15.9,31.3,33.1
220,17031190401,7034,0.7688,0.5398,0.8163,0.5341,1.7,64.2,7.6,0.0,14.5,14.4,14.9,29.7,33.0
221,17031190402,8177,0.876,0.6753,0.7987,0.2943,1.5,67.6,0.3,0.0,14.6,15.9,15.6,32.3,33.6
222,17031190601,6997,0.9216,0.7429,0.9139,0.2426,1.6,88.9,0.0,0.0,15.2,14.1,14.6,32.5,33.7
223,17031190602,8470,0.8337,0.8044,0.8497,0.6514,3.0,76.0,0.4,0.0,14.6,15.0,14.8,33.2,33.8
224,17031190701,4282,0.7837,0.877,0.8333,0.4148,2.5,71.6,1.3,0.0,14.7,18.0,16.0,37.0,35.1
225,17031190702,7883,0.8997,0.8268,0.9109,0.6671,3.6,86.5,0.0,0.0,14.3,19.4,16.5,39.4,35.6
226,17031190800,11064,0.9466,0.7918,0.9285,0.7637,1.1,88.4,1.2,0.1,14.6,16.6,15.6,36.3,34.4
227,17031190900,5058,0.8172,0.9271,0.9394,0.6084,4.4,89.8,0.0,0.0,13.9,15.5,14.5,36.4,34.0
228,17031191000,5203,0.7055,0.7501,0.9464,0.3846,1.9,88.5,4.7,0.0,15.2,14.3,14.6,34.1,33.6
229,17031191100,14097,0.8836,0.7835,0.9314,0.3764,2.7,85.4,2.4,0.0,15.2,14.8,14.7,34.4,34.7
230,17031191200,10194,0.892,0.8604,0.9633,0.4449,0.0,97.0,0.0,0.0,14.9,18.7,16.3,40.2,35.9
231,17031191301,8371,0.6923,0.967,0.9613,0.6916,2.1,85.2,8.6,0.0,14.7,14.8,14.5,34.5,34.5
232,17031191302,8272,0.8527,0.7337,0.9343,0.4336,1.2,92.3,0.0,0.0,15.1,15.7,15.1,35.0,34.9
233,17031200100,5880,0.705,0.734,0.8645,0.4775,3.6,70.0,7.2,0.0,15.0,12.8,14.0,29.4,32.4
234,17031200200,10967,0.8543,0.3791,0.9057,0.6145,5.5,83.6,0.0,0.0,14.5,15.5,15.1,35.5,34.5
235,17031200300,3533,0.8524,0.3146,0.9299,0.5467,6.2,86.4,0.4,0.0,14.7,15.0,15.0,34.6,34.2
236,17031200401,5943,0.9714,0.6282,0.9242,0.4524,2.7,87.6,0.0,0.0,14.4,17.5,15.9,38.9,35.4
237,17031200402,7853,0.8129,0.8089,0.9104,0.5994,4.3,81.2,3.7,0.1,15.3,13.9,14.7,33.2,33.4
238,17031210100,7445,0.5117,0.1258,0.6784,0.6217,2.3,39.0,5.0,0.0,16.6,12.5,14.8,23.6,31.7
239,17031210400,4842,0.9747,0.7684,0.8317,0.7627,1.7,70.1,1.3,0.0,14.8,14.9,15.0,32.4,33.3
240,17031210501,7773,0.8556,0.1802,0.812,0.4092,4.6,57.1,4.1,0.0,15.4,15.8,16.3,29.9,33.1
241,17031210502,7334,0.771,0.4613,0.8181,0.5003,3.5,61.8,1.8,0.0,15.0,15.3,15.7,30.6,33.1
242,17031210601,5096,0.728,0.1373,0.8176,0.7079,0.5,59.0,11.3,0.0,15.9,12.0,14.3,26.0,31.5
243,17031210602,8497,0.6454,0.2684,0.7933,0.6532,0.2,58.0,5.5,0.0,16.6,11.9,14.4,25.9,31.8
244,17031210700,5952,0.7238,0.1613,0.7528,0.4519,1.5,54.2,3.0,0.9,16.5,12.5,14.7,25.3,31.9
245,17031210800,2160,0.8413,0.1499,0.7353,0.3879,0.7,54.3,0.7,0.0,17.8,11.5,14.3,23.9,31.2
246,17031210900,4686,0.3476,0.2575,0.6434,0.2502,6.3,29.7,5.8,0.0,17.4,10.7,14.3,20.7,30.5
247,17031220300,3832,0.215,0.0363,0.557,0.6272,1.6,24.4,8.3,0.0,18.3,9.3,15.0,16.7,29.2
248,17031220400,4886,0.239,0.0781,0.5078,0.5116,0.8,20.4,8.4,0.0,18.2,7.9,14.1,15.8,27.8
249,17031220500,6502,0.3001,0.1302,0.5968,0.2691,5.9,24.5,5.5,0.0,18.9,8.8,14.8,15.9,29.1
250,17031220601,3614,0.333,0.076,0.6389,0.2498,4.6,30.6,2.8,0.5,18.1,10.0,14.4,19.7,30.3
251,17031220602,10119,0.4169,0.102,0.5968,0.9704,4.8,30.0,4.4,0.0,17.5,11.2,15.3,21.1,30.8
252,17031220701,5683,0.7384,0.2155,0.8306,0.7412,2.8,69.9,1.8,0.0,17.0,10.7,13.6,24.8,31.3
253,17031220702,8231,0.8137,0.2266,0.7743,0.6764,2.7,60.6,2.3,0.0,16.1,13.5,14.9,27.6,33.0
254,17031220901,7044,0.802,0.545,0.8467,0.5268,13.4,63.6,0.8,0.0,13.7,15.7,15.3,35.2,34.6
255,17031220902,5799,0.6598,0.6447,0.8328,0.3758,1.5,71.3,2.0,0.0,15.7,13.4,14.3,30.3,33.2
256,17031221000,5714,0.7082,0.0726,0.769,0.3922,5.3,55.5,2.7,0.0,16.3,13.6,15.4,27.6,33.4
257,17031221100,8662,0.7309,0.3494,0.6846,0.8567,6.0,35.3,4.7,0.0,16.1,12.6,15.0,25.3,32.2
258,17031221200,5667,0.2666,0.0748,0.6063,0.848,9.0,24.6,3.1,0.0,19.2,9.3,14.7,16.9,29.8
259,17031221300,7277,0.6334,0.0351,0.7075,0.8839,4.5,38.9,7.5,0.0,17.9,12.7,15.6,22.6,31.9
260,17031221400,9301,0.5182,0.0843,0.6684,0.8092,2.9,30.5,6.5,0.0,18.0,9.6,14.2,19.8,29.9
261,17031221500,4891,0.5254,0.0887,0.5428,0.4434,8.2,22.6,2.3,0.0,16.2,12.5,15.0,24.7,31.4
262,17031221600,5374,0.036,0.0184,0.4783,0.1614,3.1,16.3,5.5,0.0,20.0,8.0,15.3,13.3,28.4
263,17031222200,4323,0.1234,0.0123,0.4242,0.5263,3.7,10.2,6.9,0.0,20.8,7.7,15.1,12.1,28.4
264,17031222500,3272,0.4327,0.1644,0.6707,0.4156,3.6,42.4,2.0,0.0,17.2,11.1,14.5,22.9,31.3
265,17031222600,3863,0.676,0.103,0.6402,0.5118,8.0,32.0,1.7,0.0,17.7,11.3,14.8,20.9,31.4
266,17031222700,4105,0.7939,0.4268,0.7704,0.8437,2.6,54.6,1.9,0.0,16.4,13.7,14.7,27.2,33.6
267,17031222800,2609,0.8127,0.6067,0.8103,0.4562,6.1,65.5,0.0,0.0,14.7,13.3,14.9,30.2,33.7
268,17031222900,4452,0.834,0.5748,0.8702,0.6304,7.6,74.5,0.0,0.6,15.5,14.2,14.5,32.4,34.2
269,17031230100,3524,0.6587,0.2805,0.7762,0.5194,10.8,46.1,4.1,0.0,15.4,12.8,14.6,27.1,33.2
270,17031230200,4837,0.7912,0.6864,0.8257,0.7806,9.7,61.9,2.9,0.0,14.5,16.3,15.6,34.5,35.4
271,17031230300,1803,0.9578,0.1559,0.9003,0.0572,6.5,82.0,0.0,0.0,15.1,16.2,15.3,36.4,35.2
272,17031230400,5283,0.8565,0.6051,0.8825,0.3425,0.6,83.5,1.0,0.0,14.8,14.1,14.7,33.3,33.8
